PYTHONPATH=.:packages/harness:packages/dr_core PYTHONIOENCODING=utf-8 PYTHONUTF8=1 uv run pytest tests/ packages/dr_core/tests -v
============================= test session starts ==============================
platform darwin -- Python 3.12.13, pytest-9.0.3, pluggy-1.6.0 -- /Users/ryanfree/Documents/Projects/deerflow-dr/deer-flow/backend/.venv/bin/python
cachedir: .pytest_cache
rootdir: /Users/ryanfree/Documents/Projects/deerflow-dr/deer-flow/backend
configfile: pyproject.toml
plugins: asyncio-1.3.0, langsmith-0.8.18, anyio-4.13.0
tests/test_channels.py::TestChannelManager::test_handle_command_requires_control_command_at_start PASSED [  8%]
tests/test_channels.py::TestChannelManager::test_handle_command_outbound_thread_id_uses_topic_thread PASSED [  9%]
tests/test_channels.py::TestChannelManager::test_handle_command_slash_skill_routes_to_chat PASSED [  9%]
tests/test_channels.py::TestChannelManager::test_handle_command_slash_skill_with_attachment_preserves_original_content PASSED [  9%]
tests/test_channels.py::TestChannelManager::test_streaming_slash_skill_with_attachment_preserves_original_content PASSED [  9%]
tests/test_channels.py::TestChannelManager::test_handle_command_slash_skill_requires_command_at_start PASSED [  9%]
tests/test_channels.py::TestChannelManager::test_handle_command_slash_skill_respects_custom_agent_skill_whitelist PASSED [  9%]
tests/test_channels.py::TestChannelManager::test_handle_command_slash_skill_reports_disabled_skill PASSED [  9%]
tests/test_channels.py::TestChannelManager::test_handle_command_uninstalled_slash_skill_stays_unknown_command PASSED [  9%]
tests/test_channels.py::TestChannelManager::test_handle_command_slash_skill_resolution_error_is_reported PASSED [  9%]
tests/test_channels.py::TestChannelManager::test_handle_command_new PASSED [  9%]
tests/test_channels.py::TestChannelManager::test_each_topic_creates_new_thread PASSED [  9%]
tests/test_channels.py::TestChannelManager::test_same_topic_reuses_thread PASSED [  9%]
tests/test_channels.py::TestChannelManager::test_none_topic_reuses_thread PASSED [  9%]
tests/test_channels.py::TestChannelManager::test_different_topics_get_different_threads PASSED [  9%]
tests/test_channels.py::TestChannelManager::test_handle_command_bootstrap_with_text PASSED [  9%]
tests/test_channels.py::TestChannelManager::test_handle_command_bootstrap_without_text PASSED [  9%]
tests/test_channels.py::TestChannelManager::test_handle_command_bootstrap_feishu_uses_streaming PASSED [  9%]
tests/test_channels.py::TestChannelManager::test_handle_command_bootstrap_creates_thread_if_needed PASSED [  9%]
tests/test_channels.py::TestChannelManager::test_help_includes_bootstrap PASSED [  9%]
tests/test_channels.py::TestResolveRunParamsUserId::test_safe_user_id_is_passed_through PASSED [  9%]
tests/test_channels.py::TestResolveRunParamsUserId::test_run_identity_matches_storage_bucket[kwargs0] PASSED [  9%]
tests/test_channels.py::TestResolveRunParamsUserId::test_run_identity_matches_storage_bucket[kwargs1] PASSED [  9%]
tests/test_channels.py::TestResolveRunParamsUserId::test_run_identity_matches_storage_bucket[kwargs2] PASSED [  9%]
tests/test_channels.py::TestResolveRunParamsUserId::test_connection_owner_user_id_takes_precedence_over_platform_user_id PASSED [  9%]
tests/test_channels.py::TestResolveRunParamsUserId::test_auth_disabled_user_id_is_used_for_unbound_channel_messages PASSED [  9%]
tests/test_channels.py::TestResolveRunParamsUserId::test_auth_disabled_user_id_overrides_bound_owner_for_local_visibility PASSED [  9%]
tests/test_channels.py::TestResolveRunParamsUserId::test_unbound_channel_messages_keep_platform_user_id_when_auth_is_enabled PASSED [  9%]
tests/test_channels.py::TestResolveRunParamsUserId::test_unsafe_user_id_is_normalized_but_raw_preserved PASSED [  9%]
tests/test_channels.py::TestResolveRunParamsUserId::test_unsafe_user_id_migrates_unique_legacy_bucket PASSED [  9%]
tests/test_channels.py::TestResolveRunParamsUserId::test_empty_or_none_user_id_is_not_injected[] PASSED [  9%]
tests/test_channels.py::TestResolveRunParamsUserId::test_empty_or_none_user_id_is_not_injected[None] PASSED [  9%]
tests/test_channels.py::TestChannelManagerBoundIdentityPolicy::test_unbound_auth_enabled_chat_is_rejected_before_thread_or_run_creation PASSED [  9%]
tests/test_channels.py::TestChannelManagerBoundIdentityPolicy::test_bound_identity_repo_unavailable_uses_transient_failure_message PASSED [  9%]
tests/test_channels.py::TestChannelManagerBoundIdentityPolicy::test_unbound_auth_enabled_chat_is_rejected_before_semaphore PASSED [  9%]
tests/test_channels.py::TestChannelManagerBoundIdentityPolicy::test_bound_auth_enabled_chat_is_allowed_when_bound_identity_is_required PASSED [  9%]
tests/test_channels.py::TestChannelManagerBoundIdentityPolicy::test_bound_auth_enabled_message_checks_bound_identity_once_on_hot_path PASSED [  9%]
tests/test_channels.py::TestChannelManagerBoundIdentityPolicy::test_auth_enabled_chat_rejects_unverified_bound_identity PASSED [  9%]
tests/test_channels.py::TestChannelManagerBoundIdentityPolicy::test_auth_disabled_chat_keeps_default_user_when_bound_identity_is_required PASSED [  9%]
tests/test_channels.py::TestChannelManagerBoundIdentityPolicy::test_legacy_open_bot_mode_allows_unbound_auth_enabled_chat PASSED [  9%]
tests/test_channels.py::TestChannelManagerBoundIdentityPolicy::test_unbound_auth_enabled_new_command_is_rejected_before_thread_creation PASSED [  9%]
tests/test_channels.py::TestChannelManagerBoundIdentityPolicy::test_bound_auth_enabled_new_command_creates_thread PASSED [  9%]
tests/test_channels.py::TestChannelManagerConnectionRouting::test_connection_scoped_conversations_do_not_share_threads PASSED [  9%]
tests/test_channels.py::TestExtractArtifacts::test_extracts_from_present_files_tool_call PASSED [  9%]
tests/test_channels.py::TestExtractArtifacts::test_empty_when_no_present_files PASSED [  9%]
tests/test_channels.py::TestExtractArtifacts::test_empty_for_list_result_no_tool_calls PASSED [  9%]
tests/test_channels.py::TestExtractArtifacts::test_only_extracts_after_last_human_message PASSED [  9%]
tests/test_channels.py::TestExtractArtifacts::test_multiple_files_in_single_call PASSED [  9%]
tests/test_channels.py::TestExtractArtifacts::test_ignores_hidden_human_control_messages PASSED [  9%]
tests/test_channels.py::TestFormatArtifactText::test_single_artifact PASSED [  9%]
tests/test_channels.py::TestFormatArtifactText::test_multiple_artifacts PASSED [  9%]
tests/test_channels.py::TestHandleChatWithArtifacts::test_bound_owner_artifacts_resolve_from_owner_outputs_bucket PASSED [  9%]
tests/test_channels.py::TestHandleChatWithArtifacts::test_artifacts_appended_to_text PASSED [  9%]
tests/test_channels.py::TestHandleChatWithArtifacts::test_artifacts_only_no_text PASSED [  9%]
tests/test_channels.py::TestHandleChatWithArtifacts::test_hidden_human_control_message_does_not_trigger_no_response_fallback PASSED [  9%]
tests/test_channels.py::TestHandleChatWithArtifacts::test_only_last_turn_artifacts_returned PASSED [  9%]
tests/test_channels.py::TestFeishuChannel::test_prepare_inbound_publishes_without_waiting_for_running_card PASSED [  9%]
tests/test_channels.py::TestFeishuChannel::test_prepare_inbound_and_send_share_running_card_task PASSED [  9%]
tests/test_channels.py::TestFeishuChannel::test_streaming_reuses_single_running_card make: *** [test] Error 143
